number,value,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_best_iteration
60,0.06959314775160597,0.796543027097559,0.07976780514989147,81,6,78,0.21058914072764828,23,0.36587863229382295,0.016366338011794886,5.709467818345712,0.8848716447471805,63
61,0.054545454545454564,0.7944739385238521,0.07985143395851654,82,6,80,0.23492640219497102,23,0.34675295853225446,0.014465943677236776,5.625020292099712,0.8937920155494007,18
62,0.05871725383920501,0.7801561091776594,0.07412401984108359,70,6,91,0.21216716239050123,25,0.8450517882266904,0.018410637458361787,5.3291590012545,0.879723564255581,107
63,0.062200956937799035,0.7572089073861773,0.07060840810709547,95,6,96,0.24715362440900418,20,0.3155509358815263,0.010052717693835618,5.003860450943165,0.8457143785295613,6
64,0.0564373897707231,0.8281770401263535,0.07530115729028937,108,5,120,0.20281915580406124,26,1.2921195844431077,0.03186253009909333,3.8871976299953572,0.8260771091296035,14
65,0.0586113615870153,0.808323148112888,0.06742690438929651,83,5,75,0.25513574403841793,22,0.1232750743381044,0.003762584400431902,3.327148006954253,0.9116181593021522,10
66,0.06232023010546506,0.76289556390462,0.04233956273721065,92,6,70,0.21873833296564876,21,0.012069180141094859,0.0017217400548150995,5.780898510664524,0.9608928214989099,37
67,0.05078683834048636,0.7318675588548765,0.02994556468526809,73,5,63,0.23008455350245377,18,0.4379009252132373,0.0025559383813162206,5.297103789910435,0.9820443852412367,12
68,0.05354449472096534,0.6333600433082373,0.06102083937293831,131,6,44,0.19639383299294794,23,0.17052524093675975,0.005548456481502836,1.9383306617687626,0.8867515342670963,7
69,0.05893186003683237,0.8548015623168087,0.03848840454245498,84,7,81,0.16111899747082398,19,0.10643418576563188,0.007080544118467606,3.647794268527857,0.8634621756079518,45
70,0.05782312925170063,0.7045013223455939,0.07043288977190194,144,6,49,0.23761714906445355,27,0.5751527439968862,0.04133209578257421,5.672607404144926,0.9482520732163255,24
71,0.07158836689038028,0.6734867034313851,0.06656979314063907,88,5,51,0.24966863291537422,20,0.01669774316377142,0.017733083517120808,2.7000441603980923,0.9935290035383576,90
72,0.06124401913875599,0.6753972383074454,0.065059049062436,68,5,34,0.26905663781953565,20,0.02030355124209959,0.016812716130200436,2.196879042357946,0.9851957187300338,13
73,0.050070521861777184,0.6165822106570192,0.05685309719425439,105,5,53,0.28076816562733736,24,0.008909529429146744,0.07100738331916075,2.578138761450049,0.9892341442513223,5
74,0.051412020275162895,0.8012751670163307,0.06236844936736779,63,5,44,0.24924874557462906,19,0.026574112344569453,0.008320509024839839,2.356841114496324,0.975488901730889,4
75,0.06327900287631827,0.6124178986485036,0.0772091827056916,79,4,57,0.21183010632385268,21,0.004718727085282277,0.02028564196286422,2.714396129633653,0.7245902939608543,17
76,0.0586113615870153,0.6535326163909608,0.07688145451056559,86,4,57,0.20903654843651254,22,0.004279172561724484,0.026622004495047112,2.6999296093927505,0.7216915190741946,15
77,0.05892547660311953,0.6128484116070432,0.07892858153512662,77,4,69,0.26413501522504057,21,0.0023536642325798877,0.011281261216199595,1.8763536475091953,0.7338888307478179,15
78,0.053584905660377324,0.6375050089365736,0.07360417339135138,95,3,58,0.227895895816132,25,0.0018455169475514014,0.004933140173007505,3.3614152758012823,0.7592622017207534,52
79,0.05684547638110493,0.6273042480936685,0.048064044338633906,167,4,48,0.19189435534483215,18,0.005593916967513132,0.020051271156684466,1.6284001355701296,0.8060629880701138,48
80,0.05174927113702621,0.6600333932183613,0.06820782878081409,119,4,40,0.24224064910452991,17,0.01705652387135935,0.0012658659155725292,2.8258955357509725,0.7091593455058264,9
81,0.04954640614096306,0.6129180174362906,0.07089097614293231,78,5,53,0.2163504820150117,20,0.0134194119147688,0.014651356664547387,3.087656833618284,0.990226507146813,4
82,0.05163636363636359,0.7673089817592829,0.06600346096125329,79,5,42,0.2224503043921611,20,0.010327513685373659,0.011989308733814062,5.431669887007864,0.9558805080022276,2
83,0.05739692805173813,0.6297666467307096,0.07336563159752837,71,4,46,0.18321521030293872,21,0.032076133551129905,0.026345897837814967,2.086588304526676,0.8506379360433772,23
84,0.05444785276073616,0.9198252667971905,0.05899896214309125,89,5,35,0.20044943406539456,22,0.0437180298538208,0.006834191826082912,2.256269738485192,0.7739237100941122,41
85,0.05193855157278715,0.9968464244500523,0.07989355174546293,138,6,38,0.25437097277839815,16,0.00481093399292359,0.041759700307021495,5.99447565196309,0.9667000038172022,4
86,0.0640394088669951,0.7336329051646183,0.07620715848122281,102,5,64,0.17132184382916021,23,0.0701044067538008,0.0022315869262796353,1.4305201680989692,0.9780054997223987,35
87,0.06336633663366331,0.6809868801388717,0.07622611611298072,93,5,64,0.17601289382418864,30,0.07595610171522964,0.0023485224073836386,1.457037498890746,0.9951958334865187,17
88,0.053024645257654934,0.739667686826155,0.07584881282166632,94,5,66,0.16563608307992933,29,0.06082230134022544,0.002157404521471974,1.4352566724668736,0.9991117552576526,16
89,0.05133767172812731,0.6960712910837664,0.06876476320405289,100,5,73,0.14420610751933494,30,0.08116253067967942,0.0016977361562686265,1.5577622889194669,0.9772930707158168,9
90,0.049615653389238346,0.6844606562807871,0.02347666645146054,104,6,77,0.16906521515345527,28,0.07652439268546789,0.0030672821776415084,1.1799107768945696,0.9913733302452716,20
91,0.05593803786574869,0.7134274195601495,0.07595389210679031,148,5,62,0.1542125491957371,24,0.0404699774117616,0.0023649392359627536,1.720235393271139,0.9797599966361125,31
92,0.05212922173274592,0.6456341904036733,0.07166600694113427,110,5,69,0.190639343538481,23,0.15096116009020624,0.004289207366346013,1.3317013666730386,0.726040893125035,7
93,0.05486862442040186,0.6110213143367571,0.033621275381445125,87,5,64,0.17841510641105904,30,0.05403626014724613,0.0033413815115289095,3.592436109545276,0.9931890248042361,8
94,0.05813953488372092,0.6711066246217026,0.07756237088970365,67,4,59,0.2056059918698493,26,0.03641911235803385,0.0011501669828600442,1.8667442562821084,0.7491963669553936,35
95,0.05465742879137803,0.7835188673053095,0.07272525942676593,74,3,54,0.23256026164524005,24,0.10988141693758977,0.0019031835560528625,1.0525413428643877,0.9349039634558018,70
96,0.05216752387950041,0.6644757449232777,0.06264133688109007,202,6,52,0.18575497144726436,22,0.02617341745048249,0.0051672004940928155,2.452815775899844,0.9998013641244933,15
